task,model,subset,n,accuracy,macro_f1
sleeve,CLIP_ENSEMBLE,overall,20000,0.4781,0.41070948065880275
sleeve,CLIP_ENSEMBLE,catalog_like,7898,0.5240567232210687,0.4182325616661508
sleeve,CLIP_ENSEMBLE,less_curated,12102,0.4481077507849942,0.40342885456679434
