task,metric,blip_minus_clip_mean,ci_lower,ci_upper
sleeve,accuracy,0.07084644232211611,0.06495199759987996,0.07665383269163462
sleeve,macro_f1,0.059570186873370595,0.05371881654761917,0.0655130173499372
pattern,accuracy,0.12241298287534846,0.11537520623542123,0.1294888206178529
pattern,macro_f1,0.12185360954035292,0.11326558142917341,0.1300902824262299
material,accuracy,0.036704911412851475,0.030133511685427317,0.04386451971127153
material,macro_f1,0.10420069361267187,0.09569559769758637,0.11261046483288101
