model,subset,n,accuracy,macro_f1
CLIP,catalog_like,7898,0.6853633831349709,0.6556128683466492
CLIP,less_curated,12101,0.6685397900999918,0.6601983420997463
BLIP,catalog_like,7898,0.7495568498354014,0.7128650752019907
BLIP,less_curated,12102,0.7434308378780367,0.7224134024552512
