model,task,subset,n,accuracy,macro_f1
CLIP_ENSEMBLE,sleeve,overall,20000,0.7359,0.7183933570940934
CLIP_ENSEMBLE,sleeve,catalog_like,7898,0.7338566725753355,0.7068250215131272
CLIP_ENSEMBLE,sleeve,less_curated,12102,0.7372335151214675,0.7212760186374627
