model,subset,accuracy,macro_f1
CLIP,overall,0.6751837591879594,0.6617174714283183
CLIP,catalog_like,0.6853633831349709,0.6556128683466492
CLIP,less_curated,0.6685397900999918,0.6601983420997463
BLIP,overall,0.7802,0.7695386211799374
BLIP,catalog_like,0.7824765763484427,0.7661542265078746
BLIP,less_curated,0.7787142621054371,0.768387682753616
