task,metric,blip_minus_clip_mean,ci_lower,ci_upper
sleeve,accuracy,0.0707572378618931,0.06549952497624871,0.07580504025201257
sleeve,macro_f1,0.05951671107045961,0.05444435070577182,0.06485862649856525
pattern,accuracy,0.12241298287534846,0.11537520623542123,0.1294888206178529
pattern,macro_f1,0.12185360954035292,0.11326558142917341,0.1300902824262299
material,accuracy,0.036704911412851475,0.030133511685427317,0.04386451971127153
material,macro_f1,0.10420069361267187,0.09569559769758637,0.11261046483288101
