task,model,subset,n,accuracy,macro_f1
pattern,CLIP_ENSEMBLE,overall,17577,0.6184218012175001,0.5685465550684072
pattern,CLIP_ENSEMBLE,catalog_like,6920,0.6320809248554913,0.5775323759353213
pattern,CLIP_ENSEMBLE,less_curated,10657,0.6095524068687248,0.5617786295519563
