,precision,recall,f1-score,support
long sleeve,0.7932524513877347,0.7802844531633154,0.7867150156584803,6117.0
short sleeve,0.48800773694390714,0.7262521588946459,0.5837575196668209,3474.0
sleeveless,0.8647452626801316,0.7321548659813623,0.7929455831859328,10409.0
accuracy,0.74585,0.74585,0.74585,0.74585
macro avg,0.7153351503372578,0.7462304926797745,0.7211393728370781,20000.0
weighted avg,0.7774398781259699,0.74585,0.7547039974743917,20000.0
