task,model,n,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,macro_f1_mean,macro_f1_ci_lower,macro_f1_ci_upper
sleeve,CLIP,19999,0.6750937546877345,0.6689821991099555,0.6816340817040852,0.6616669759039107,0.6552318068115571,0.6684236782934146
sleeve,BLIP,20000,0.7458575000000001,0.7391475,0.75195,0.7211842352289954,0.71419481105025,0.7276716658771358
pattern,CLIP,17577,0.686778517380668,0.6799183592194344,0.6935199408317688,0.6439568397616929,0.6358181033950601,0.6511524450040365
pattern,BLIP,17577,0.8091915002560164,0.8033765716561415,0.8149854924048472,0.7658104493020459,0.7583153837843435,0.7736184466270536
material,CLIP,19811,0.39194558578567457,0.38513956892635404,0.3982131139266064,0.39990468076577856,0.39161948024442994,0.40822906953403887
material,BLIP,19811,0.42865049719852594,0.4215839685023472,0.43561910049972236,0.5041053743784504,0.49460983093849514,0.5138647712158072
