model,class,precision,recall,f1,support
CLIP,long sleeve,0.8055555555555556,0.6352787314042831,0.7103555433689791,6117
CLIP,short sleeve,0.3822130831512659,0.8560736902705814,0.5284762327854287,3474
CLIP,sleeveless,0.8984311604003246,0.6382590315142198,0.7463206381305472,10408
BLIP,long sleeve,0.7932524513877347,0.7802844531633154,0.7867150156584803,6117
BLIP,short sleeve,0.48800773694390714,0.7262521588946459,0.5837575196668209,3474
BLIP,sleeveless,0.8647452626801316,0.7321548659813623,0.7929455831859328,10409
