task,model,preprocess_mode,subset,n,accuracy,macro_f1
pattern,CLIP_IMPROVED_CALIBRATED,original,overall,17577,0.5394549695624964,0.17520972689308548
pattern,CLIP_IMPROVED_CALIBRATED,original,catalog_like,6920,0.5226878612716763,0.17163329220840848
pattern,CLIP_IMPROVED_CALIBRATED,original,less_curated,10657,0.5503424978887116,0.1774906185691805
