task,prompt_group,subset,n,mean_margin,median_margin,std_margin
material,correct_style,overall,2000,-0.0023289706110954283,-0.004598803818225861,0.02040466483376808
material,correct_style,catalog_like,796,-0.0014154775320884571,-0.0034670159220695496,0.019700407541249614
material,correct_style,less_curated,1204,-0.002932907895887413,-0.0053985342383384705,0.02084333046263031
material,near_miss,overall,2000,-0.006055944480001927,-0.003937743604183197,0.014357598473616949
material,near_miss,catalog_like,796,-0.005388766358695438,-0.003591284155845642,0.014452052037921794
material,near_miss,less_curated,1204,-0.006497035663191267,-0.004411414265632629,0.014283712859040202
material,wrong_style,overall,2000,-0.012908806420862675,-0.013800173997879028,0.02707280133056556
material,wrong_style,catalog_like,796,-0.013686686978867305,-0.015160761773586273,0.027036190776712057
material,wrong_style,less_curated,1204,-0.012394526583510776,-0.013199672102928162,0.02709593803714533
