model,task,accuracy_gap_catalog_minus_less,macro_f1_gap_catalog_minus_less
CLIP,sleeve,0.016823593034979156,-0.004585473753097036
CLIP,pattern,0.04211339557543392,0.0291977427113832
CLIP,material,0.006947161521947465,0.0024642537050628688
BLIP,sleeve,0.00612601195736473,-0.009548327253260491
BLIP,pattern,0.00287531167606192,0.008941755965514164
BLIP,material,-0.029674331605325344,-0.0004944922476854963
