task,model,preprocess_mode,subset,n,accuracy,macro_f1
sleeve,CLIP_IMPROVED,original,overall,20000,0.4864,0.47587410800023494
sleeve,CLIP_IMPROVED,original,catalog_like,7898,0.4655609014940491,0.4552284808132477
sleeve,CLIP_IMPROVED,original,less_curated,12102,0.5,0.4876537120117294
