model,task,subset,n,accuracy,macro_f1
CLIP,sleeve,overall,19999,0.6751837591879594,0.6617174714283183
CLIP,pattern,overall,17577,0.6867497297604824,0.6439144916761183
CLIP,material,overall,19811,0.3917520569380647,0.399808539179525
BLIP,sleeve,overall,20000,0.74585,0.7211393728370781
BLIP,pattern,overall,17577,0.8092393468737554,0.7658139171692602
BLIP,material,overall,19811,0.4286507495835647,0.5043021011388941
