task,prompt_group,subset,n,mean_margin,median_margin,std_margin
pattern,correct_style,overall,2000,0.0067468974068760875,0.0058662667870521545,0.016654703420673957
pattern,correct_style,catalog_like,789,0.0071966183502864475,0.006402313709259033,0.01635752200091475
pattern,correct_style,less_curated,1211,0.006453891771574044,0.005600571632385254,0.016845760505427295
pattern,near_miss,overall,2000,-0.0045215125903487205,-0.004946216940879822,0.011736025771229236
pattern,near_miss,catalog_like,789,-0.004461117797024803,-0.004915118217468262,0.011639518826112102
pattern,near_miss,less_curated,1211,-0.0045608614689057565,-0.0050473809242248535,0.01180310704820372
pattern,wrong_style,overall,2000,-0.01798293489217758,-0.019995376467704773,0.03303678196270579
pattern,wrong_style,catalog_like,789,-0.019541246847205894,-0.023172616958618164,0.03311466610775221
pattern,wrong_style,less_curated,1211,-0.016967651545755337,-0.01832430064678192,0.03295998480228794
