task,metric,clip,blip,absolute_improvement,relative_improvement_percent
sleeve,accuracy,0.6751837591879594,0.74585,0.07066624081204065,10.46622343182997
sleeve,macro_f1,0.6617174714283183,0.7211393728370781,0.0594219014087598,8.979950503724426
pattern,accuracy,0.6867497297604824,0.8092393468737554,0.122489617113273,17.836136194184405
pattern,macro_f1,0.6439144916761183,0.7658139171692602,0.12189942549314192,18.930995818378936
material,accuracy,0.3917520569380647,0.4286507495835647,0.0368986926455,9.418889318386812
material,macro_f1,0.399808539179525,0.5043021011388941,0.10449356195936904,26.135900492222493
