task,model,preprocess_mode,subset,n,accuracy,macro_f1
sleeve,CLIP_IMPROVED_CALIBRATED,original,overall,20000,0.52045,0.22819998465366612
sleeve,CLIP_IMPROVED_CALIBRATED,original,catalog_like,7898,0.5935679918966827,0.24831823719476667
sleeve,CLIP_IMPROVED_CALIBRATED,original,less_curated,12102,0.4727317798710957,0.2139931549121921
