task,prompt_group,subset,n,mean_margin,median_margin,std_margin
sleeve,correct_style,overall,2000,0.0042175821065902706,0.005773589015007019,0.01561345398788779
sleeve,correct_style,catalog_like,826,0.0039665411986392575,0.0057227835059165955,0.01528108955378788
sleeve,correct_style,less_curated,1174,0.0043942088442116825,0.005778074264526367,0.01584721056603928
sleeve,near_miss,overall,2000,0.0038463246896862984,0.001472562551498413,0.017924431865450924
sleeve,near_miss,catalog_like,826,0.0066982337947907806,0.006611451506614685,0.017801654112072338
sleeve,near_miss,less_curated,1174,0.001839785574851288,-0.002282187342643738,0.017745061925387936
sleeve,wrong_style,overall,2000,-0.01640532199293375,-0.016856156289577484,0.03418262108576718
sleeve,wrong_style,catalog_like,826,-0.018520117365274823,-0.01926271617412567,0.035643112463366836
sleeve,wrong_style,less_curated,1174,-0.014917399524830066,-0.015589281916618347,0.033050833440696134
